<<<<<<< HEAD
,Season,Total Bike Rides
0,Fall,5481775
1,Spring,2940600
2,Summer,14118705
3,Winter,8148841
=======
,Season,Total Bike Rides
0,Fall,5481775
1,Spring,2940600
2,Summer,14118705
3,Winter,8148841
>>>>>>> da64380909f13b265b9d0e5096f2932ff345e323
